# 30/12/2023 11:32:22 AM: Prices - EPEX Spot Market Auction - netherlands - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak
31/12/2023,34.91,12.56,4.00,,0.31,0.13,0.38,-0.41,-0.38,3.24,9.36,14.00,10.68,11.00,6.09,8.54,13.24,28.07,50.00,45.00,39.64,34.89,13.30,10.68,3.17,-0.41,50.00,12.95,-0.07,9.32,9.72,40.68,15.51,14.68,19.91,8.72,6.44,9.52,9.46,2.95,10.44,24.96,24.45,10.59
30/12/2023,32.49,29.16,8.88,,5.61,5.74,10.00,32.17,44.90,73.50,73.50,53.00,55.00,36.38,33.25,42.04,73.50,70.62,79.51,79.99,71.09,62.01,52.78,50.10,43.23,5.61,79.99,19.04,23.20,63.75,46.29,75.30,52.03,46.60,61.78,15.31,21.12,55.02,31.42,56.02,44.41,66.42,59.87,48.86
29/12/2023,0.00,-0.08,-0.28,,-1.51,-1.27,-0.28,-0.07,0.10,25.00,59.00,60.05,50.04,30.44,17.13,41.28,60.00,73.70,75.10,69.53,74.90,62.54,54.89,36.04,19.35,-1.51,75.10,-0.47,-0.38,48.52,37.21,73.31,43.21,33.57,53.01,-0.57,-0.42,42.87,14.12,21.01,39.42,62.52,52.88,43.16
28/12/2023,-0.02,-0.78,-1.43,,-1.39,-1.94,-1.04,-0.70,16.06,38.20,38.79,29.60,34.89,11.65,11.40,26.37,50.72,40.87,78.40,78.40,65.02,64.90,54.00,40.00,2.00,-1.94,78.40,-0.91,3.10,35.37,25.04,65.67,40.23,28.08,42.03,-1.10,1.10,30.20,14.14,23.09,21.89,49.09,50.72,27.44
27/12/2023,89.91,79.20,57.63,,51.90,50.03,55.71,65.06,77.65,82.76,80.54,74.89,74.71,73.79,72.00,73.70,80.00,79.16,80.38,74.38,64.90,54.73,24.74,16.99,0.20,0.20,89.91,69.66,62.11,78.23,74.87,74.71,24.17,63.96,75.93,64.06,65.89,76.55,51.98,76.50,73.85,78.31,39.32,74.85
26/12/2023,0.00,-0.02,-0.14,,-2.83,-3.80,-1.85,0.00,1.62,38.21,51.70,48.88,25.04,10.00,2.73,40.10,74.20,91.90,113.80,130.00,129.00,113.90,83.10,97.20,85.00,-3.80,130.00,-0.75,-1.01,40.96,31.76,116.18,94.80,46.99,62.96,-1.44,-0.88,36.36,31.02,22.88,21.66,80.00,106.37,33.49
25/12/2023,-1.91,-3.79,-6.65,,-10.03,-10.00,-6.50,-7.59,-1.50,0.08,10.05,25.00,15.10,0.09,0.00,0.07,5.00,34.99,52.50,40.10,33.00,12.01,9.62,5.00,0.08,-10.03,52.50,-5.60,-6.40,12.56,1.29,40.15,6.68,8.11,18.00,-6.48,-6.00,6.92,-1.77,0.26,10.05,23.14,16.64,7.54
24/12/2023,0.08,-0.25,-0.55,,-1.24,-4.10,-4.97,-4.22,-2.91,-1.62,0.00,2.09,0.06,0.05,0.06,0.03,0.13,1.00,18.50,31.21,34.80,10.00,2.01,0.00,-0.10,-4.97,34.80,-0.49,-4.05,0.13,0.07,21.38,2.98,3.34,7.19,-1.84,-2.27,0.10,-0.52,-2.19,0.57,4.92,12.99,0.40
23/12/2023,10.00,4.32,0.13,,0.03,0.00,0.00,0.10,7.43,20.00,42.08,41.64,45.90,46.00,49.81,49.30,49.51,54.28,63.77,66.45,57.99,48.46,38.37,20.32,7.77,0.00,66.45,3.62,1.88,37.41,48.66,60.62,28.73,30.15,48.89,2.41,2.75,43.03,11.41,17.40,45.84,54.22,39.89,47.03
22/12/2023,0.13,-0.25,-0.07,,-0.19,-0.21,-0.40,0.44,32.10,72.00,92.00,63.57,59.95,54.11,54.50,60.61,60.00,49.80,72.00,64.90,60.10,56.47,45.03,30.41,12.00,-0.40,92.00,-0.10,7.98,71.88,57.31,61.70,35.98,39.13,63.63,-0.17,3.94,64.59,14.62,49.14,58.03,60.60,44.82,58.79
21/12/2023,29.90,24.83,20.48,,2.76,-0.84,-0.27,24.44,46.50,78.20,83.80,87.38,85.72,75.90,64.90,75.10,75.87,73.40,100.00,102.75,90.70,89.00,60.00,47.56,13.58,-0.84,102.75,19.49,17.46,83.78,72.94,91.71,52.54,56.32,82.81,12.81,18.48,78.36,29.83,58.24,78.48,81.09,67.27,77.48
20/12/2023,57.85,50.48,48.00,,39.98,31.51,39.97,48.13,69.53,98.09,107.10,95.00,88.00,66.54,70.10,84.31,90.66,98.00,110.91,100.81,89.06,78.07,66.87,61.42,48.93,31.51,110.91,49.08,47.29,97.05,77.90,99.70,63.82,72.47,91.55,44.63,48.18,87.48,53.40,80.71,79.91,95.97,74.19,82.44
19/12/2023,52.24,50.89,49.99,,56.27,59.00,65.05,80.00,93.74,100.24,94.28,86.10,79.71,76.50,80.00,80.66,84.82,88.67,101.81,94.40,91.10,85.20,79.64,75.86,59.84,49.99,101.81,52.35,74.45,90.08,80.50,94.00,75.14,77.75,88.19,55.57,63.40,85.29,67.31,92.07,80.58,88.99,81.01,81.30
18/12/2023,54.46,52.02,50.29,,49.20,52.77,62.58,84.00,103.39,109.28,110.28,89.03,81.17,74.89,74.95,80.87,88.00,95.41,104.33,103.15,96.30,83.09,74.89,63.79,57.94,49.20,110.28,51.49,75.69,97.44,79.68,99.80,69.93,79.00,92.31,53.55,63.59,88.56,65.70,101.74,80.01,92.15,79.86,81.49
17/12/2023,45.48,43.11,43.71,,28.69,26.37,29.87,39.03,45.53,57.67,59.17,54.43,49.00,43.71,40.03,46.10,57.18,64.13,89.00,99.89,86.00,65.99,64.89,66.84,51.63,26.37,99.89,40.25,35.20,55.07,46.76,84.76,62.34,54.06,62.19,36.21,37.72,50.91,45.93,50.35,46.79,64.10,72.54,48.41
16/12/2023,67.20,63.21,60.37,,58.00,54.10,55.64,59.34,65.10,79.89,87.69,84.42,77.00,71.45,70.62,75.31,80.38,83.90,106.78,118.81,103.00,93.60,75.00,66.46,56.00,54.10,118.81,62.20,58.55,82.25,74.44,103.12,72.77,75.55,86.60,59.75,60.37,78.35,64.50,73.01,75.87,86.59,85.48,76.53
15/12/2023,86.11,82.93,80.10,,76.55,75.16,80.41,95.97,106.92,121.50,117.47,109.97,102.77,94.20,88.37,87.10,89.86,98.40,104.40,101.86,93.30,93.36,88.36,86.77,76.71,75.16,121.50,81.42,89.62,112.93,89.88,99.49,86.30,93.27,100.77,80.21,85.52,101.41,85.78,110.47,98.83,94.94,90.06,95.38
14/12/2023,77.34,76.13,76.50,,77.53,79.05,81.92,90.92,116.34,124.66,121.70,114.33,119.32,95.00,99.90,100.80,108.10,120.00,119.90,122.30,113.82,99.90,96.20,94.46,85.57,76.13,124.66,76.88,92.06,120.00,100.95,119.01,94.03,100.49,113.32,78.08,84.47,110.48,87.66,113.41,107.14,112.20,102.04,106.24
13/12/2023,75.43,73.01,73.72,,71.46,73.05,75.57,83.10,102.19,98.77,103.51,100.23,100.00,97.62,97.34,102.06,102.83,100.78,110.04,105.42,102.04,95.30,90.88,92.35,84.25,71.46,110.04,73.41,83.48,100.63,99.96,104.57,90.70,92.12,101.72,73.71,78.44,100.30,82.53,96.89,98.80,103.93,95.04,100.01
12/12/2023,88.07,87.06,85.62,,84.42,85.55,87.31,98.90,118.40,140.79,128.77,124.57,118.81,116.82,119.47,116.69,115.54,106.50,104.13,105.00,93.60,92.15,88.14,83.37,77.50,77.50,140.79,86.29,97.54,128.24,117.13,102.31,85.29,102.80,115.89,86.34,91.92,122.68,89.71,121.72,119.92,110.72,89.96,118.65
11/12/2023,34.55,15.74,13.00,,8.90,11.99,35.79,74.29,92.74,98.65,98.37,93.29,90.98,85.97,84.48,92.00,96.79,106.12,118.45,122.90,121.55,114.11,99.42,96.53,90.37,8.90,122.90,18.05,53.70,95.32,89.81,117.26,100.11,79.04,100.80,20.00,35.88,92.57,57.29,91.01,88.68,103.34,107.48,90.59
10/12/2023,33.78,21.34,12.49,,6.37,9.36,17.54,23.84,41.85,59.67,66.24,68.01,67.96,66.38,64.73,68.98,75.84,80.30,80.30,85.42,80.76,78.05,77.06,77.47,67.15,6.37,85.42,18.50,23.15,65.47,68.98,81.70,74.93,55.45,72.05,16.81,20.82,67.23,38.86,47.90,66.77,76.36,77.65,68.65
09/12/2023,95.00,85.10,79.49,,73.07,69.57,72.38,76.04,82.49,85.14,91.76,90.58,90.75,91.17,88.69,85.60,83.50,78.70,83.44,80.00,78.69,65.62,61.40,57.20,46.18,46.18,95.00,83.17,75.12,89.56,87.24,80.21,57.60,78.82,85.67,79.10,79.14,88.40,71.96,83.86,90.30,82.81,64.85,88.38
08/12/2023,87.09,83.26,81.43,,79.52,80.00,87.04,99.94,107.54,112.80,118.58,118.78,118.07,116.74,111.89,113.09,115.75,113.35,117.63,118.60,105.56,104.67,101.12,101.39,90.58,79.52,118.78,82.83,93.63,117.06,114.37,113.79,99.44,103.52,115.07,83.06,88.23,115.71,91.97,109.72,116.37,114.96,103.65,115.72
07/12/2023,99.20,97.85,96.86,,91.81,89.92,94.53,97.05,127.99,150.00,137.70,108.20,94.30,79.00,80.30,86.00,106.70,126.13,125.21,120.28,103.19,99.88,96.10,96.47,87.08,79.00,150.00,96.43,102.37,122.55,88.00,118.70,94.88,103.82,109.75,95.03,99.40,105.28,97.90,128.19,90.45,111.01,100.50,92.42
06/12/2023,94.97,93.10,92.57,,90.96,90.59,93.89,106.52,132.76,167.00,166.54,150.00,146.29,119.00,109.73,129.89,143.99,164.00,178.07,165.28,149.93,129.91,115.68,107.33,100.44,90.59,178.07,92.90,105.94,157.46,125.65,164.32,113.34,126.60,149.14,92.68,99.42,141.56,104.06,143.21,131.26,153.99,128.10,133.15
05/12/2023,90.85,88.01,85.73,,83.62,84.71,91.02,107.95,114.36,122.79,123.29,120.69,120.79,117.96,118.12,125.07,122.59,129.24,146.05,147.47,141.56,128.63,117.83,111.55,103.28,83.62,147.47,87.05,99.51,121.89,120.94,141.08,115.32,114.30,127.97,87.32,93.28,121.41,100.63,117.10,119.39,130.74,125.05,120.87
04/12/2023,93.86,89.81,88.02,,85.38,85.83,91.98,103.38,115.75,122.64,126.12,128.02,130.70,126.45,130.00,127.10,124.84,121.96,128.06,125.60,120.00,114.33,105.55,100.00,91.76,85.38,130.70,89.27,99.24,126.87,127.10,123.91,102.91,111.55,125.96,89.15,94.25,126.98,97.14,116.97,128.79,125.49,109.54,127.85
