CAPEX,Qbess,cost
0.01,50.00000044345678,5.028795366292979
0.02,50.0000004269807,5.528795371280651
0.03,50.00000039695429,6.028795376297885
0.04,50.00000032498673,6.528795381297508
0.05,49.9999999197072,7.028795386340927
0.06,48.38681653315032,7.52052830399659
0.07,27.542671197566325,7.899294939200059
0.08,20.956997687303414,8.137167757096478
0.09,9.400952125099797,8.297489509776202
0.1,0.7827887404206282,8.351928674555174
0.11,0.08325590152139926,8.351967609732382
0.12,0.043620955397470546,8.35196801853445
0.13,0.010710558737205545,8.351081418076008
0.14,0.022289283260369594,8.351968247622278
0.15,0.017892551333270806,8.351968284007635
0.16,0.014936722773389033,8.35196828937813
0.17,0.012814022762843377,8.351968300466458
0.18,0.011216339309532905,8.351968321074168
0.19,0.01000006207195537,8.351659496975403
0.2,0.010000003505593377,8.351758212898426
0.21,0.010000001745098734,8.351858415734087
0.22,0.01000010473718155,8.352271012572295
0.23,0.01000005127465497,8.352371002556662
0.24,0.010000037925587391,8.352470985609163
0.25,0.01000007232783708,8.352570985255383
0.26,0.010000019964845144,8.35267097656843
0.27,0.010000027387276822,8.352771004610291
0.28,0.010000019419497082,8.352871003525554
0.29,0.010000075720255311,8.352971016970075
0.3,0.009999995430442154,8.352759087336587
0.31,0.01000001091369639,8.353171002295653
0.32,0.010000054833349896,8.353271025372475
0.33,0.010000007914833348,8.353371001856068
0.34,0.010000006772821406,8.353471001674912
0.35,0.010000005669057638,8.353571001414387
0.36,0.010000002414571255,8.353671099188652
0.37,0.010000018442256297,8.353771089896881
0.38,0.01000000083567854,8.35387111029682
0.39,0.009999993435864074,8.353971138436968
0.4,0.009999991541762256,8.354071173497502
0.41,0.009999992275269673,8.35417121499663
0.42,0.009999994040577383,8.354271262740435
0.43,0.009999995960416999,8.354371316971164
0.44,0.0099999974706161,8.354471378335294
0.45,0.009999998623409499,8.354571456541045
0.46,0.009999999268245272,8.35467101035547
0.47,0.009999998936554297,8.354771018232293
0.48,0.009999998628716306,8.354871019299663
0.49,0.00999999834128954,8.354971020632494
0.5,0.009999998072615167,8.355071019694355
0.51,0.009999997820832317,8.35517101766987
0.52,0.009999997583978251,8.35527101870141
0.53,0.00999999736134022,8.355371016607016
0.54,0.00999999715141153,8.355471014556661
0.55,0.009999996953123171,8.355571012618682
0.56,0.00999999676555811,8.35567101074515
0.57,0.009999996587853678,8.355771008952349
0.58,0.009999996419249287,8.355871007301463
0.59,0.009999996259068864,8.3559710058173
0.6,0.009999996112908686,8.356071049390197
0.61,0.009999995967917567,8.356171062075978
0.62,0.00999999582962401,8.356271075490953
0.63,0.00999999569757608,8.356371089472612
0.64,0.009999995571361917,8.356471103854133
0.65,0.009999995443588015,8.356571003646417
0.66,0.0099999953279374,8.35667100361724
0.67,0.00999999521710332,8.356771003742013
0.68,0.00999999511078074,8.356871004139318
0.69,0.009999995008694232,8.35697100481672
0.7,0.009999994910578106,8.357071005860902
0.71,0.009999994818035781,8.357171021275235
0.72,0.009999994727207752,8.357271024128508
0.73,0.009999994639809238,8.357371028873473
0.74,0.009999994555641357,8.357471035385997
0.75,0.009999994474479728,8.357571042784361
0.76,0.009999994396159652,8.357671050761095
0.77,0.009999994320534014,8.357771059447733
0.78,0.009999994247466091,8.357871068727485
0.79,0.009999994176840698,8.35797107915026
0.8,0.009999994108512746,8.35807108968349
0.81,0.009999994042385881,8.358171100785933
0.82,0.009999993978353832,8.35827111252742
0.83,0.009999993916318945,8.358371124894472
0.84,0.009999993856188324,8.358471137744
0.85,0.009999993797875379,8.358571151037932
0.86,0.009999993741298847,8.358671164897181
0.87,0.009999993686382085,8.358771179155722
0.88,0.009999993633053119,8.35887119385577
0.89,0.009999993581244513,8.358971208981579
0.9,0.00999999353089215,8.359071224498075
0.91,0.00999999348193544,8.359171240499435
0.92,0.009999993434317112,8.359271256861895
0.93,0.009999993387983188,8.35937127363605
0.94,0.009999993342882376,8.35947129081533
0.95,0.009999993299159841,8.359571327033056
0.96,0.009999993256371758,8.359671344582294
0.97,0.009999993214678307,8.359771362356492
0.98,0.009999993174038118,8.359871380417385
0.99,0.009999993134412459,8.35997139878293
1.0,0.009999993095763729,8.360071417463525
