occup,T_amb,T_tank,T_space,Ir_gain,Cond_losses,Vent_losses,heat_hp,heat_rate_sp,Tret_sp,heat_rate_wat,Tret_wat,water_forheat,COP_water,COP_space,hp_oper,space_ON,water_ON,P_con,time
1.0,4.857142857142857,0.0,22.53608428988915,0.0,1.6009165414423403,1.238474850621658,3.5989571428571425,0.7595657507931443,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:00:00.0
1.0,4.857142857142857,0.0,22.53863909056912,0.0,1.6011478914179154,1.2386538238029732,3.5989571428571425,0.7591554276362542,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:01:00.0
1.0,4.857142857142857,0.0,22.541192511126468,0.0,1.6013791164164861,1.2388327003016235,3.5989571428571425,0.7587453261390333,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:02:00.0
1.0,4.857142857142857,0.0,22.543744552306737,0.0,1.6016102165055657,1.2390114801698375,3.5989571428571425,0.7583354461817401,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:03:00.0
1.0,4.857142857142857,0.0,22.546295214855082,0.0,1.6018411917526305,1.2391901634598166,3.5989571428571425,0.7579257876446958,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:04:00.0
1.0,4.857142857142857,0.0,22.548844499516246,0.0,1.6020720422251225,1.2393687502237323,3.5989571428571425,0.7575163504082881,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:05:00.0
1.0,4.857142857142857,0.0,22.55139240703458,0.0,1.602302767990445,1.2395472405137287,3.5989571428571425,0.7571071343529686,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:06:00.0
1.0,4.8428571428571425,0.0,22.553938938154026,0.0,1.603827011973109,1.2407264011944223,3.5989571428571425,0.7544037296896112,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:07:00.0
1.0,4.8428571428571425,0.0,22.55647637636733,0.0,1.6040567896905153,1.2409041580711082,3.5989571428571425,0.7539961950955192,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:08:00.0
1.0,4.8428571428571425,0.0,22.559012443837354,0.0,1.6042864432802628,1.241081818922186,3.5989571428571425,0.7535888806546936,13.92272595101259,0.0,0.0,0.0,0.0,1.7529547741045182,0.42857142857142855,0.5714285714285714,0.0,0.8762916135028603,2023-01-23T00:09:00.0
1.0,4.828571428571428,0.0,22.561547141304565,0.0,1.6058096156665496,1.2422601506120299,3.597528571428571,0.749458805149992,13.923153564586755,0.0,0.0,0.0,0.0,1.7513183929895113,0.42857142857142855,0.5714285714285714,0.0,0.8767213421115292,2023-01-23T00:10:00.0
1.0,4.828571428571428,0.0,22.56406794725587,0.0,1.6060378872494698,1.2424367423376075,3.597528571428571,0.7490539418414942,13.923153564586755,0.0,0.0,0.0,0.0,1.7513183929895113,0.42857142857142855,0.5714285714285714,0.0,0.8767213421115292,2023-01-23T00:11:00.0
